id,year,horizon,resolution_year,p_checkable,p_sarcastic,specificity_level,domain,direction,story_title,comment,llm_verdict,llm_summary,llm_sources,anthony_verdict,anthony_sources,notes
8295347,2014,under_1y,2015,0.68,0.14,1.77,crypto_finance,failure,Seniors and the generation spending gap,"Wow!:
“But they shouldn’t expect to be subsidized by the poor.”

Something is very clear: politicians always want more, and more and more. They never have enough taxes.

""Thanks to stock market booms, economic growth, a soaring real estate market and a major expansion in both private and government pension plans""

I don't know Canada, but here in Europe pensions are shrinking, and stock market is a bubble that will pop when interest types rise, and they will soon(they are unsustainable now).

I am young and the only thing I need is freedom, economic freedom included, let bubbles burst so we could acquire our houses and cars at the right price. They let it only go up, then they try to sustain it artificially injecting public money in banks and making ""bad banks""also public.

Politicians and taxes are the problem, not the solution.",did_not_come_true,"The commenter predicted that interest rates would rise 'soon' and pop what he saw as an unsustainable stock-market bubble, implicitly within the 2014-2015 window. In reality, the ECB kept rates near zero (and even cut its deposit rate into negative territory) throughout 2014-2015, and the U.S. Federal Reserve did not begin raising rates until December 2015, only at the very tail of the window, with just a token quarter-point hike. Far from bursting, global stock markets continued their multi-year bull run well beyond 2015 (interrupted only by a temporary 2015-2016 selloff driven mainly by Chinese market turmoil, not rising rates), so the predicted bubble-popping tied to rising interest rates did not occur in the stated timeframe.",https://www.ecb.europa.eu/stats/policy_and_exchange_rates/key_ecb_interest_rates/html/index.en.html https://www.business-standard.com/amp/article/news-cm/ecb-reduces-interest-rate-to-record-low-of-0-05-114090400990_1.html https://en.wikipedia.org/wiki/2015%E2%80%932016_stock_market_selloff https://www.weforum.org/stories/2016/01/the-ecb-vs-the-federal-reserve-different-reactions-to-the-great-recession/,,,
3024841,2011,1_to_5y,2016,0.65,0.1,1.79,product_adoption,success,Web Technologies Need an Owner,"The web has already crushed a bunch of 'owned' platforms that had strong-willed, deep-pocketed stewards. A good run for iOS, and a few features where the web lags, doesn't change the immense power of the web commons platform. The things proven-out by adjacent proprietary platforms will be assimilated, in a few years' time — plenty of time for  multivendor adoption and mass-market usership.

(It won't be standards bodies that lead the way — they never do. At best they can codify consensus after the fact, and lightly shame laggards. Instead a rotating selection of innovators, in different categories, will drive change.)",came_true,"By 2014-2016 the web platform did assimilate many capabilities that had been proven out on proprietary/native platforms like iOS — offline support, push notifications, camera/geolocation access, background sync — largely via the Service Worker/Push API stack that began as Chrome/Mozilla-led experiments (first Service Worker commits in 2013, first public draft in 2014) rather than a top-down standards effort. This mirrors exactly the mechanism the commenter described: the 2013 Extensible Web Manifesto (co-authored by browser engineers like Alex Russell and Yehuda Katz) explicitly called for browser vendors and developers to prototype low-level capabilities first and let standards bodies 'codify consensus after the fact,' and PWAs became a mainstream cross-vendor pattern well within the stated few-year horizon. Some gaps remained (e.g., Apple's slower/partial PWA support), but the overall pattern of innovator-led, non-standards-body-driven assimilation of proprietary-platform features into the open web played out largely as predicted.",https://chromeos.dev/en/posts/pwas-past-present-future https://github.com/extensibleweb/manifesto/blob/master/README.md https://www.bocoup.com/blog/extensible-web-manifesto https://www.blotdesign.com/article-detail.php?page=160,,,
19026160,2019,1_to_5y,2024,0.56,0.08,2.03,infrastructure,change,A New Golden Age for Computer Architecture,"If we ever have an industrial revolution or massive productivity gains again it will most likely involve autonomous machines for things like farming, construction, delivery, transport, etc. All of these things depend on increases in power efficiency or performance. It is possible that we are one or two ""doublings"" away from achieving this in a mobile package and then suddenly moore's law stops.

For example Tesla is betting on conventional cameras and tries to overcome their shortcomings with computationally intensive machine vision. Tesla's custom chips allows them to have more processing power which means they can install more high resolution cameras and other sensors.",partly,"By 2024 there was no industrial-revolution-scale productivity leap from autonomous farming, construction, delivery or transport machines — these sectors show steady, incremental automation gains (e.g., agricultural robotics, AMRs) but nothing resembling a sudden revolution, and Tesla's own 'full self-driving' remained a supervised Level-2 system (with Tesla later admitting HW3 cars can never reach unsupervised FSD). Moore's law also did not 'suddenly stop'; instead it has continued a gradual, widely-debated slowdown (2nm nodes shipping, cadence stretching to ~2.5-3 years) rather than an abrupt halt. The one part that did pan out as described is Tesla's strategy itself: it kept building custom silicon (HW3→HW4→HW5) specifically to add more and higher-resolution cameras and compute power to compensate for camera-only vision, exactly as the commenter predicted.",https://en.wikipedia.org/wiki/Moore's_law https://www.eetimes.com/the-impact-of-the-end-of-moores-law-on-the-ai-gold-rush/ https://cars.usnews.com/cars-trucks/advice/tesla-full-self-driving https://teslant.com/en/guides/tesla-fsd-hardware-generations-reference-2026 https://ts2.tech/en/robotics-and-automation-trends-2025-industry-breakthroughs-and-market-outlook/ https://www.tesla.com/support/fsd,,,
963607,2009,under_1y,2010,0.66,0.09,1.45,language_or_framework,success,Why is Haskell so popular?,"Static type systems are evolving rapidly and becoming so powerful they are close to merging with algebraic specifications (e.g. OBJ, CASL). They will (soon) have type/proof systems that will become the foundation for all future engineering of large reliable systems. Why would you make an application author write unit tests on the outside of a weak language, when you can verify from inside of a strong one ? Why would you even wrap a weak language with an incomplete informal poorly specified unit test generator, when you can verify it rigorously inside the type system of strong language ?

Along with convergence of languages and tools, there is also a recognition that isolation of side effects and composition of operations are the fundamental mechanisms for building large software systems from reusable components, and Category Theory is the formalism for describing composition. For example, in the Haskell community there is an ongoing exploration of the compositional properties of isolation primitives like Monads, Arrows, Applicative Functors and Comonads (yeah, Category Theory terminology is a barrier to progress). Haskell is not the final language, but it is the medium in which the correct path is being discovered. I would also say the move from Java to Scala is also a step in the right direction of more powerful type systems and a (more) functional approach.

On the Lisp side, there has always been a cacophony of variations, and people might have had high hopes for Arc, but the future is Clojure.

Interesting that the two most innovative recent languages, Scala and Clojure, have been built on the JVM.",partly,"Some elements proved prescient—functional-programming ideas like monads, algebraic data types, and stronger type systems (influenced by Haskell-style category-theory concepts) did spread into mainstream languages such as Rust, Swift, TypeScript, and F#—but the stronger claims did not pan out: dependent/proof-based type systems never became ""the foundation for all future engineering of large reliable systems,"" and neither Scala nor especially Clojure became ""the future""; by 2025 Scala sits around #27 on TIOBE with a shrinking, niche job market, and Clojure surveys/job boards likewise show a small, stable but non-dominant community, both eclipsed in JVM circles by Kotlin. So the directional bet on FP/type-theory ideas was right, but the specific language predictions (Scala's ascendancy, Clojure as ""the future"") and the grand claim about proof systems replacing testing did not come true.",https://clojure.org/news/2026/02/18/state-of-clojure-2025 https://www.itjobswatch.co.uk/jobs/uk/clojure.do https://www.intsurfing.com/blog/scala-market-overview-2025/ https://www.hyperlinkinfosystem.com/article/kotlin-vs-scala,,,
7820830,2014,1_to_5y,2019,0.51,0.24,2.03,society_work,no_change,Mark Zuckerberg and his wife to donate $120M to needy Bay Area schools,">Amazing that the money is all gone

Not really. This is what American Capitalism is known as around the world. In oil and gas you know to sell your shares and not work for a firm that gets an American CEO because everything the article talks about happens without fail within the first three years.

The short and simple of it is that Americans businesses just plain have no morals and everyone expects to be screwed over by them.

>It gives me more appreciation for Bill Gate's approach

Is just as bad as everyone else.

Remember that amazing mosquito zapper he demoed 4 years ago[1]? Turns out the reason you haven't heard anything more about it is because he hired his patent troll friends over at Intellectual Ventures to do it for him [2]. Since they own the patents for it no one else can develop it and they aren't cross licensing, kind of obvious for a patent troll. Since they are a patent troll they aren't doing anything but holding the intellectual property and not producing any units.

So all in all, it's just another green washing bullshit fest as are most of his other investments in the region.

[1] https://www.youtube.com/watch?v=fwyMuwNYKvI

[2] http://online.wsj.com/news/articles/SB123680870885500701?mg=...",partly,"By 2019, Intellectual Ventures had not turned Global Good's mosquito laser (""Photonic Fence"") into a mass-produced malaria-fighting device; it remained largely a prototype/demo project, which supports the commenter's core claim that it was mostly hype (""greenwashing"") rather than a real product for fighting malaria. However, the commenter's specific claim that IV was patent-trolling by refusing to license the technology proved wrong—IV signed licensing/development deals with Lighting Science (2015) and spun out Photonic Sentry (2016) to commercialize the tech for agriculture and hospitality markets, and R&D continued through the 2020s (including peer-reviewed papers), so it wasn't simply sitting unused as pure patent trolling.",https://www.geekwire.com/2015/intellectual-ventures-laser-mosquito-zapper-one-step-closer-to-commercialization/ https://www.fastcompany.com/3059127/what-happened-to-the-mosquito-zapping-laser-that-was-going-to-stop-malaria https://photonicsentry.com/ https://en.wikipedia.org/wiki/Mosquito_laser https://www.nature.com/articles/s41598-024-57804-6 https://www.pbs.org/video/fighting-mosquitoes-with-frickin-laser-beams-tdwh5y,,,
13122449,2016,under_1y,2017,0.68,0.39,1.19,other,change,US airline to charge passengers extra to use overhead lockers,"Generally I'd say that if it encourages more people to check luggage and reduce the shit show that boarding has become I'm all for it. But then it doesn't affect me personally because I don't pay for bags and only carry a backpack on board. I definitely see how the move might encourage more people to sign up for United credit cards with baggage perks that ""pay for themselves.""

Also, if you pay a lower fare or don't book early enough and your party is broken up that's your problem. Maybe I'm an asshole for saying no. But unless it involves children or some other extenuating circumstance, or you just need me to move an aisle or two back and I still get my  aisle or window or whatever I chose that day, I'm not giving you my seat and won't feel even a little bad about it.",partly,"The HN thread referred to United Airlines' November/December 2016 announcement of a 'Basic Economy' fare (rolling out in 2017) that barred cheapest-fare passengers from using overhead bins unless they paid more, which some outlets inaccurately reported as a straight 'overhead bin fee.' United executives later said (2018) the policy was 'working as designed,' pushing some travelers to pay more or check bags and helping operational metrics, but boarding congestion and overhead-bin fights remained a persistent, widely-reported industry problem for years afterward (e.g., Southwest's 2026 boarding overhaul struggles, new Jetstar/easyJet bin fees), so the commenter's hoped-for broad fix to the boarding 'shit show' only partly materialized and only for a narrow fare class, not industry-wide.",https://www.snopes.com/fact-check/united-airlines-begin-charging-use-overhead-storage/ https://www.cnbc.com/2018/10/17/united-airlines-basic-economy-still-wont-include-overhead-bin-bags.html https://fortune.com/2016/11/15/united-airlines-low-fare-carry-on-bag https://thepointsguy.com/news/southwest-airlines-refining-boarding-overhead-bin-policies/ https://www.businesstravelnews.com/Transportation/Air/Uniteds-New-Basic-Economy-Fare-Will-Restrict-Overhead-Bin-Use,,,
15232768,2017,1_to_5y,2022,0.61,0.17,1.43,infrastructure,change,Apple Watch 3,"It wasn't until a later version of iOS that you could setup an  iPhone without iTunes. The same independence should come to the Apple Watch eventually, it just might take a few more versions.",did_not_come_true,"As of 2026, an Apple Watch still cannot be initially set up or activated without an iPhone being involved at some point; the Watch app on an iPhone is required to pair and activate any new Apple Watch. Apple did introduce ""Family Setup"" (2020) letting a watch operate as a standalone device afterward, but this still requires a household iPhone to perform the initial pairing/activation, so full independence analogous to iTunes-free iPhone setup never materialized within or beyond the 2022 horizon.",https://www.digitalcitizen.life/how-to-set-up-an-apple-watch-without-an-iphone/ https://www.macworld.com/article/676595/does-an-apple-watch-work-without-an-iphone.html https://support.apple.com/en-us/109036 https://applewatchlab.com/how-to-set-up-apple-watch-without-iphone/,,,
10549425,2015,5_to_10y,2025,0.62,0.23,1.37,society_work,no_change,Hoffa: TPP a punch to the gut of U.S. workers,"Because of explosive growth nobody saw coming at the time.  I doubt the same is going to happen with say - automobiles, or designer clothing.  We can make a pretty good estimate of what demand will be over the next decade.",partly,"The commenter argued that, unlike whatever had seen 'explosive growth nobody saw coming,' auto and designer-clothing demand could be reasonably forecast for the next decade. In aggregate this held loosely—global light-vehicle sales went from about 88–89 million units in 2015 to roughly 99.8 million in 2025, a modest, non-explosive rise, and luxury/designer apparel also grew at steady single-digit rates rather than exploding. However, the path was far from the smooth, easily-forecastable trend implied: COVID-19 caused an unprecedented sales collapse in 2020, followed by a chip-shortage-driven supply crunch, a rapid and largely unanticipated EV transition, and renewed US tariff shocks in 2024-2025, all of which made industry demand far harder to predict a decade out than the commenter suggested. So while the 'no explosive growth' part proved roughly correct, the 'we can make a pretty good estimate' claim was only partially vindicated.",https://www.spglobal.com/automotive-insights/en/blogs/2025-auto-sales-forecast-global https://autokunbo.com/global-automotive-production-volume-2015-2025/ https://statbase.org/datasets/road-transportation/vehicles-sales-by-country/ https://www.just-auto.com/features/global-automotive-market-forecasts-for-2025/,,,
1851110,2010,under_1y,2011,0.59,0.12,1.36,policy_law,change,My dalliance with smart drugs - and the lesson I learned,"> Even if these drugs have risks, the risks of obesity are likely much higher.

""Likely"", nice weasel word there. In fact, sibutramine was pulled after the SCOUT trial showed that the risks of obesity were not higher. The cardiovascular risks of the drug more than offset the decresae in risks from lower weight.

Lorcaserin was barely efficacious, and had a cancer signal.

Qnexa was very efficacious, but had even more serious side effects. One serious one-two punch is that it makes women much more fertile because of the hormonal effects of weight loss (in the clincial trial something like 20 women got pregnant despite double birth control protection), and at the same time contains topiramate, a Pregnancy Category C drug known to cause birth defects.

You'll get no argument from me that the FDA is very risk averse (and I think there are several drugs rejected this year that should have been approved, e.g. pirfenidone for IPF), but I think you're wrong that the FDA should have approved these obesity drugs. As you say, obesity is a big problem in the US, which means lots and lots of people are going to take any drugs once they're approved. Such drugs have to be incredibly safe or there will be lots of problems.

The next obesity drug to come up for FDA approval is Orexigen's Contrave, and we'll see what happens there.",came_true,"Within the commenter's stated 2011 horizon, the FDA did exactly what the commenter implied would happen given its risk-averse posture on obesity drugs: on January 31, 2011 it issued a Complete Response Letter rejecting Contrave, citing unresolved cardiovascular safety concerns and demanding a large pre-approval outcomes trial. This mirrored the pattern the commenter described with sibutramine, lorcaserin, and Qnexa (all pulled/rejected/troubled), confirming the FDA's cautious stance toward obesity drugs that the commenter argued was appropriate. (Contrave was eventually approved years later in 2014 after additional cardiovascular data, but that is outside the 2011 horizon the commenter specified.)",https://www.biospace.com/u-s-fda-rejects-orexigen-therapeutics-inc-diet-drug-over-heart-risks https://medicalxpress.com/news/2011-02-fda-declines-orexigen-diet-drug.html https://en.wikipedia.org/wiki/Naltrexone/bupropion https://www.fiercebiotech.com/biotech/fda-issues-complete-response-to-new-drug-application-for-contrave-r-for-management-of,,,
9860849,2015,under_1y,2016,0.31,0.1,2.91,infrastructure,change,An unexpected benefit of open-sourcing our code,"You're right, but there's no question that being somewhat vague with the patch details and producing only a changed binary means attackers will be slowed down a bit from producing a functional exploit. Even if you're only buying yourself maybe ~6-24 hours, that might mean N extra hours for millions of machines to patch.",unresolvable,"The comment is a general opinion about security-patch economics (that vague/binary-only patches buy attackers a few extra hours, giving more machines time to patch), not a dated, falsifiable prediction with a concrete 2016 outcome to check. Modern security literature and practitioner debate (e.g., 2026 pieces arguing 'silent patches don't stop attackers, they blind defenders' and that binary diffing/patch-diffing is a routine, fast process for sophisticated attackers) show this remains a contested, unresolved claim about degree and magnitude rather than a verifiable event.",https://news.ycombinator.com/item?id=9857784 https://www.securityweek.com/silent-patches-dont-stop-attackers-they-blind-defenders/ https://cve-north-stars.github.io/docs/Patch-Diffing https://www.techtarget.com/searchsecurity/feature/An-introduction-to-binary-diffing-for-ethical-hackers,,,
