id,stratum,is_prediction,is_checkable,is_sarcastic,is_conditional,direction,domain,horizon,stance_vs_thread,certainty,specificity,subject_text,labeler,notes,source
20908911,uniform,0,,,,,,,,,,,anthony,,human
13299458,uniform,0,,,,,,,,,,,anthony,,human
10156666,uniform,0,,,,,,,,,,,anthony,,human
18981970,uniform,0,,,,,,,,,,,anthony,,human
12039438,uniform,0,,,,,,,,,,,anthony,,human
7146132,uniform,0,,,,,,,,,,,anthony,"tool capability description, not a forecast",human
4852971,uniform,0,,,,,,,,,,,anthony,,human
11480460,uniform,0,,,,,,,,,,,anthony,,human
16485136,uniform,0,,,,,,,,,,,anthony,personal plans and habitual client behavior,human
13025273,uniform,0,,,,,,,,,,,anthony,,human
19157541,uniform,0,,,,,,,,,,,anthony,,human
5749757,uniform,0,,,,,,,,,,,anthony,,human
949506,uniform,0,,,,,,,,,,,anthony,,human
6008297,uniform,0,,,,,,,,,,,anthony,,human
1725984,uniform,0,,,,,,,,,,,anthony,,human
19546476,uniform,0,,,,,,,,,,,anthony,,human
6116928,uniform,0,,,,,,,,,,,anthony,,human
8047249,uniform,0,,,,,,,,,,,anthony,,human
629683,uniform,0,,,,,,,,,,,anthony,,human
13318618,uniform,0,,,,,,,,,,,anthony,"predicts readers' reaction, not scoped outcome",human
5408883,uniform,0,,,,,,,,,,,anthony,,human
9212890,uniform,0,,,,,,,,,,,anthony,,human
21455707,uniform,0,,,,,,,,,,,anthony,,human
12423134,uniform,0,,,,,,,,,,,anthony,,human
2061842,uniform,1,1,0,1,success,product_adoption,unstated,agrees,1.0,1.0,3D printing tools and amateur 3D object creation,anthony,I think we'll see a Cambrian-explosion of art and tech objects.,human
21068397,uniform,1,1,0,0,change,infrastructure,under_1y,agrees,2.0,1.0,macOS app notarization requirements,anthony,tomorrow it is some scummy app,human
12064590,uniform,0,,,,,,,,,,,anthony,,human
11590598,uniform,0,,,,,,,,,,,anthony,,human
13639877,uniform,0,,,,,,,,,,,anthony,going to argue is a speech act,human
8341500,uniform,0,,,,,,,,,,,anthony,,human
13306505,uniform,0,,,,,,,,,,,anthony,,human
12751865,uniform,0,,,,,,,,,,,anthony,,human
6036988,uniform,0,,,,,,,,,,,anthony,,human
10933533,uniform,0,,,,,,,,,,,anthony,,human
19821210,uniform,0,,,,,,,,,,,anthony,,human
2774286,uniform,0,,,,,,,,,,,anthony,,human
12839853,uniform,0,,,,,,,,,,,anthony,,human
19356661,uniform,1,1,0,0,change,product_adoption,unstated,agrees,1.0,1.0,e-liquid flavorings and vaping regulation,anthony,they will spin another five flavours by tomorrow,human
9239334,uniform,0,,,,,,,,,,,anthony,,human
12241723,uniform,1,1,0,0,,,unstated,contrarian,2.0,1.0,vehicle manufacturers' restrictive ToS enforcement,anthony,people who want to rent their self-driving cars won't buy those,human
3420546,uniform,0,,,,,,,,,,,anthony,,human
14670774,uniform,0,,,,,,,,,,,anthony,,human
20145464,uniform,0,,,,,,,,,,,anthony,,human
1213936,uniform,0,,,,,,,,,,,anthony,going to work means commuting,human
10317310,uniform,0,,,,,,,,,,,anthony,,human
2513923,uniform,0,,,,,,,,,,,anthony,,human
19606772,uniform,0,,,,,,,,,,,anthony,,human
7467252,uniform,0,,,,,,,,,,,anthony,"immediate UI reading critique, not a forecast",human
10625481,uniform,0,,,,,,,,,,,anthony,,human
4706281,uniform,0,,,,,,,,,,,anthony,,human
2212340,uniform,0,,,,,,,,,,,anthony,,human
4388275,uniform,0,,,,,,,,,,,anthony,,human
13667909,uniform,0,,,,,,,,,,,anthony,,human
14554647,uniform,0,,,,,,,,,,,anthony,,human
15053508,uniform,0,,,,,,,,,,,anthony,,human
5211827,uniform,0,,,,,,,,,,,anthony,,human
11803908,uniform,0,,,,,,,,,,,anthony,,human
13759643,uniform,0,,,,,,,,,,,anthony,,human
14256914,uniform,0,,,,,,,,,,,anthony,,human
20403361,uniform,0,,,,,,,,,,,anthony,,human
9225225,uniform,0,,,,,,,,,,,anthony,,human
9852726,uniform,0,,,,,,,,,,,anthony,,human
6871760,uniform,0,,,,,,,,,,,anthony,,human
4387363,uniform,0,,,,,,,,,,,anthony,"Uncertainty, no stated forecast",human
631410,uniform,0,,,,,,,,,,,anthony,,human
3786431,uniform,0,,,,,,,,,,,anthony,,human
7309109,uniform,0,,,,,,,,,,,anthony,,human
14651643,uniform,0,,,,,,,,,,,anthony,,human
21726858,uniform,0,,,,,,,,,,,anthony,,human
2682375,uniform,0,,,,,,,,,,,anthony,,human
7735409,uniform,0,,,,,,,,,,,anthony,,human
20062099,uniform,0,,,,,,,,,,,anthony,,human
21878523,uniform,0,,,,,,,,,,,anthony,,human
19284678,uniform,0,,,,,,,,,,,anthony,,human
14763536,uniform,1,1,0,0,no_change,policy_law,unstated,contrarian,3.0,1.0,housing cost reduction in San Francisco,anthony,Anything that would lower the cost of housing can't be done,human
12082195,uniform,0,,,,,,,,,,,anthony,,human
13459398,uniform,1,1,0,0,failure,policy_law,unstated,agrees,1.0,1.0,H.R.193 American Sovereignty Restoration Act,anthony,It's chances are slim.,human
9284895,uniform,0,,,,,,,,,,,anthony,,human
15892976,uniform,0,,,,,,,,,,,anthony,,human
5693553,uniform,0,,,,,,,,,,,anthony,,human
7655931,uniform,0,,,,,,,,,,,anthony,,human
19959404,uniform,0,,,,,,,,,,,anthony,,human
10827238,uniform,0,,,,,,,,,,,anthony,,human
12230585,uniform,1,1,0,1,success,language_or_framework,unstated,agrees,1.0,1.0,Microsoft VS/VSCode development team,anthony,they might reach a point where the competition looks very bad,human
21030934,uniform,0,,,,,,,,,,,anthony,,human
10981193,uniform,0,,,,,,,,,,,anthony,,human
7051993,uniform,0,,,,,,,,,,,anthony,,human
6766933,uniform,0,,,,,,,,,,,anthony,,human
11931474,uniform,0,,,,,,,,,,,anthony,,human
11067051,uniform,0,,,,,,,,,,,anthony,,human
4614775,uniform,0,,,,,,,,,,,anthony,,human
21173566,uniform,0,,,,,,,,,,,anthony,,human
8498171,uniform,0,,,,,,,,,,,anthony,,human
21773630,uniform,0,,,,,,,,,,,anthony,,human
13073346,uniform,0,,,,,,,,,,,anthony,,human
12205247,uniform,1,1,0,1,change,infrastructure,unstated,agrees,2.0,1.0,bandwidth management and encryption,anthony,"bandwidth comparison and hypothetical, not a forecast | review: conditional claim prices would keep rising",human
2073990,uniform,0,,,,,,,,,,,anthony,,human
18254279,uniform,0,,,,,,,,,,,anthony,,human
13093882,uniform,0,,,,,,,,,,,anthony,"I wonder if they would change the law | review: question, no assertion",human
594270,uniform,0,,,,,,,,,,,anthony,,human
9087467,uniform,0,,,,,,,,,,,anthony,,human
21802804,uniform,0,,,,,,,,,,,anthony,,human
6764541,uniform,0,,,,,,,,,,,anthony,,human
19485523,uniform,0,,,,,,,,,,,anthony,"Quotes parent forecast, does not endorse",human
6173150,uniform,0,,,,,,,,,,,anthony,,human
12955599,uniform,0,,,,,,,,,,,anthony,,human
11150266,uniform,0,,,,,,,,,,,anthony,,human
12904104,uniform,0,,,,,,,,,,,anthony,,human
1799616,uniform,0,,,,,,,,,,,anthony,,human
8889128,uniform,0,,,,,,,,,,,anthony,,human
21541786,uniform,0,,,,,,,,,,,anthony,,human
3024841,uniform,1,1,0,0,success,product_adoption,1_to_5y,contrarian,2.0,2.0,web platform vs proprietary platforms,anthony,"will be assimilated, in a few years' time",human
10089388,uniform,0,,,,,,,,,,,anthony,,human
2970135,uniform,0,,,,,,,,,,,anthony,"it may become a feature once they convert | review: hearsay, not an endorsed forecast",human
6258066,uniform,0,,,,,,,,,,,anthony,,human
17395416,uniform,0,,,,,,,,,,,anthony,,human
21250664,uniform,0,,,,,,,,,,,anthony,,human
11502046,uniform,0,,,,,,,,,,,anthony,,human
18906353,uniform,0,,,,,,,,,,,anthony,,human
3625209,uniform,0,,,,,,,,,,,anthony,,human
13049381,uniform,1,1,0,1,failure,product_adoption,over_10y,agrees,1.0,2.0,Google AMP,anthony,the link may break eventually,human
1342285,uniform,0,,,,,,,,,,,anthony,,human
10450472,uniform,0,,,,,,,,,,,anthony,"how-to necessity, not a forecast",human
11391679,uniform,0,,,,,,,,,,,anthony,quoted joke about closing a window,human
15003696,uniform,0,,,,,,,,,,,anthony,"personal study advice, not a forecast",human
21012358,uniform,0,,,,,,,,,,,anthony,,human
17792596,uniform,0,,,,,,,,,,,anthony,,human
9591071,uniform,0,,,,,,,,,,,anthony,,human
5166394,uniform,0,,,,,,,,,,,anthony,,human
15001606,uniform,0,,,,,,,,,,,anthony,,human
6183719,uniform,0,,,,,,,,,,,anthony,"individual effect claim, not a scoped forecast",human
11700118,uniform,0,,,,,,,,,,,anthony,,human
1298551,uniform,0,,,,,,,,,,,anthony,,human
19144103,uniform,0,,,,,,,,,,,anthony,,human
2117690,uniform,0,,,,,,,,,,,anthony,,human
3415752,uniform,0,,,,,,,,,,,anthony,,human
21305090,uniform,0,,,,,,,,,,,anthony,,human
14781425,uniform,0,,,,,,,,,,,anthony,,human
14393616,uniform,0,,,,,,,,,,,anthony,going to bed is not a future claim,human
21727436,uniform,0,,,,,,,,,,,anthony,,human
11448423,uniform,0,,,,,,,,,,,anthony,,human
8194224,uniform,0,,,,,,,,,,,anthony,,human
7687807,uniform,0,,,,,,,,,,,anthony,,human
21300850,uniform,0,,,,,,,,,,,anthony,,human
16772822,uniform,0,,,,,,,,,,,anthony,,human
9046463,uniform,0,,,,,,,,,,,anthony,,human
7362253,uniform,0,,,,,,,,,,,anthony,,human
19235582,uniform,0,,,,,,,,,,,anthony,,human
18040922,uniform,0,,,,,,,,,,,anthony,,human
17955467,uniform,0,,,,,,,,,,,anthony,,human
9372270,uniform,0,,,,,,,,,,,anthony,,human
8640816,uniform,0,,,,,,,,,,,anthony,,human
19942282,uniform,0,,,,,,,,,,,anthony,personal demand for proof,human
8999612,uniform,0,,,,,,,,,,,anthony,,human
10848017,uniform,0,,,,,,,,,,,anthony,,human
1217776,uniform,0,,,,,,,,,,,anthony,,human
4021715,uniform,0,,,,,,,,,,,anthony,,human
6537452,uniform,0,,,,,,,,,,,anthony,,human
15863654,uniform,0,,,,,,,,,,,anthony,,human
4378047,uniform,0,,,,,,,,,,,anthony,,human
2396766,uniform,0,,,,,,,,,,,anthony,,human
19360411,uniform,0,,,,,,,,,,,anthony,,human
3866185,uniform,0,,,,,,,,,,,anthony,,human
5586389,uniform,0,,,,,,,,,,,anthony,,human
15021290,uniform,0,,,,,,,,,,,anthony,,human
21527166,uniform,0,,,,,,,,,,,anthony,,human
13580287,uniform,0,,,,,,,,,,,anthony,,human
10417359,uniform,0,,,,,,,,,,,anthony,,human
16034144,uniform,1,1,0,0,failure,policy_law,unstated,agrees,2.0,1.0,swatting hoax detection and prevention,anthony,It's going to take more than just asking a couple basic questions.,human
1746791,uniform,0,,,,,,,,,,,anthony,,human
7066561,uniform,0,,,,,,,,,,,anthony,,human
7278866,uniform,0,,,,,,,,,,,anthony,,human
14762717,uniform,0,,,,,,,,,,,anthony,,human
10549425,uniform,1,1,0,0,no_change,society_work,1_to_5y,contrarian,1.0,2.0,automobiles and designer clothing demand,anthony,I doubt the same is going to happen,human
16308316,uniform,0,,,,,,,,,,,anthony,,human
12072825,uniform,0,,,,,,,,,,,anthony,,human
11492747,uniform,0,,,,,,,,,,,anthony,,human
10510388,uniform,0,,,,,,,,,,,anthony,,human
3243091,uniform,0,,,,,,,,,,,anthony,,human
6371898,uniform,0,,,,,,,,,,,anthony,,human
8579629,uniform,0,,,,,,,,,,,anthony,,human
3697420,uniform,0,,,,,,,,,,,anthony,,human
16473780,uniform,0,,,,,,,,,,,anthony,,human
6566411,uniform,0,,,,,,,,,,,anthony,,human
11474680,uniform,1,1,0,1,success,product_adoption,unstated,unclear,1.0,1.0,hoverboards with safe batteries and protection circuitry,anthony,they could be popular again,human
19754681,uniform,0,,,,,,,,,,,anthony,,human
13015757,uniform,0,,,,,,,,,,,anthony,,human
7820830,uniform,1,1,0,0,failure,company_fate,,contrarian,2.0,2.0,Bill Gates' charitable investments and mosquito control project,anthony,happens without fail within the first three years,human
1687797,uniform,0,,,,,,,,,,,anthony,,human
12262775,uniform,0,,,,,,,,,,,anthony,"review: present-tense benchmark claims, not a forecast",human
8938770,uniform,0,,,,,,,,,,,anthony,,human
14773647,uniform,1,0,1,0,failure,product_adoption,unstated,agrees,2.0,1.0,smart smoke alarms with poor software,anthony,vast majority of issues will arise from software defects,human
5863961,uniform,0,,,,,,,,,,,anthony,,human
11828305,uniform,0,,,,,,,,,,,anthony,,human
12643826,uniform,0,,,,,,,,,,,anthony,,human
5211928,uniform,0,,,,,,,,,,,anthony,,human
9632166,uniform,1,0,0,0,no_change,infrastructure,unstated,contrarian,3.0,1.0,Linux on the desktop,anthony,that'll always be more functional and easier to use than any desktop linux,human
9121851,uniform,1,0,0,0,success,language_or_framework,under_1y,agrees,1.0,1.0,Rust,anthony,Guides like this are going to mean a lot in the coming months,human
13196607,uniform,0,,,,,,,,,,,anthony,"Advice script, not the speaker's forecast",human
5518375,uniform,0,,,,,,,,,,,anthony,,human
18566011,uniform,0,,,,,,,,,,,anthony,,human
6035017,uniform,0,,,,,,,,,,,anthony,,human
15637374,uniform,1,1,0,0,no_change,ai_ml,over_10y,contrarian,1.0,1.0,ML and AutoML solving most AI problems,anthony,unlikely that analyzing monopolys' data will explain,human
18394887,uniform,0,,,,,,,,,,,anthony,,human
5575603,uniform,0,,,,,,,,,,,anthony,,human
14994043,uniform,0,,,,,,,,,,,anthony,,human
7978343,uniform,0,,,,,,,,,,,anthony,,human
4604772,uniform,0,,,,,,,,,,,anthony,,human
910998,uniform,0,,,,,,,,,,,anthony,,human
16189997,uniform,0,,,,,,,,,,,anthony,,human
15977084,uniform,1,1,0,0,change,policy_law,,agrees,2.0,1.0,cryptocurrency regulation and KYC/AML requirements,anthony,loopholes will get closed fast or at least eventually.,human
13571474,uniform,0,,,,,,,,,,,anthony,,human
963607,uniform,1,1,0,0,success,language_or_framework,under_1y,agrees,2.0,1.0,Static type systems and functional languages like Haskell,anthony,They will (soon) have type/proof systems,human
13628833,uniform,0,,,,,,,,,,,anthony,"habitual consumer type, not a future claim",human
3186956,uniform,0,,,,,,,,,,,anthony,,human
14798944,uniform,0,,,,,,,,,,,anthony,,human
2439258,uniform,0,,,,,,,,,,,anthony,,human
15424185,uniform,0,,,,,,,,,,,anthony,,human
1769603,uniform,0,,,,,,,,,,,anthony,,human
17528775,uniform,1,1,0,0,success,language_or_framework,unstated,agrees,0.0,1.0,Python compiled to WebAssembly,anthony,this might actually become feasible,human
7982342,uniform,0,,,,,,,,,,,anthony,,human
18947637,uniform,0,,,,,,,,,,,anthony,,human
12935389,uniform,0,,,,,,,,,,,anthony,,human
13600784,uniform,0,,,,,,,,,,,anthony,,human
19011155,uniform,0,,,,,,,,,,,anthony,,human
10605885,uniform,0,,,,,,,,,,,anthony,,human
9086905,uniform,1,1,0,0,success,science_space,unstated,agrees,1.0,1.0,psychology as an academic discipline,anthony,appears poised to eclipse psychology completely,human
11301694,uniform,0,,,,,,,,,,,anthony,,human
19529008,uniform,0,,,,,,,,,,,anthony,,human
808068,uniform,0,,,,,,,,,,,anthony,,human
18791773,uniform,0,,,,,,,,,,,anthony,,human
18378379,uniform,0,,,,,,,,,,,anthony,,human
8568073,uniform,0,,,,,,,,,,,anthony,"restates parent, not own forecast",human
2231496,uniform,1,1,0,1,change,product_adoption,unstated,agrees,2.0,1.0,iOS app ecosystem,anthony,they'll pass the 30% down to user,human
20716149,uniform,0,,,,,,,,,,,anthony,,human
5057003,uniform,0,,,,,,,,,,,anthony,,human
14398914,uniform,0,,,,,,,,,,,anthony,,human
17974228,uniform,0,,,,,,,,,,,anthony,,human
9755296,uniform,0,,,,,,,,,,,anthony,,human
9167474,uniform,0,,,,,,,,,,,anthony,,human
13432434,uniform,0,,,,,,,,,,,anthony,,human
3284174,uniform,0,,,,,,,,,,,anthony,,human
10276137,uniform,0,,,,,,,,,,,anthony,,human
13330322,uniform,1,1,0,1,failure,company_fate,unstated,contrarian,2.0,2.0,AppNexus,anthony,They will not be part of any adtech renaissance,human
2270266,uniform,0,,,,,,,,,,,anthony,,human
3854063,uniform,0,,,,,,,,,,,anthony,,human
20850968,uniform,0,,,,,,,,,,,anthony,,human
11808429,uniform,0,,,,,,,,,,,anthony,,human
1544721,uniform,0,,,,,,,,,,,anthony,,human
16848500,uniform,0,,,,,,,,,,,anthony,"design principle about incentives, not a forecast",human
7661704,uniform,0,,,,,,,,,,,anthony,,human
642911,uniform,1,1,1,0,success,society_work,under_1y,contrarian,2.0,2.0,high-paying teacher salaries improving student outcomes,anthony,The kids will love school in a way that no one thought possible,human
11059945,uniform,0,,,,,,,,,,,anthony,"describes a racist's motive, not a forecast",human
14175161,uniform,0,,,,,,,,,,,anthony,,human
7358627,uniform,0,,,,,,,,,,,anthony,,human
8007341,uniform,0,,,,,,,,,,,anthony,"quotes Apple's pitch, not a forecast",human
4599788,uniform,0,,,,,,,,,,,anthony,,human
2215675,uniform,0,,,,,,,,,,,anthony,,human
4250927,uniform,0,,,,,,,,,,,anthony,,human
12808510,uniform,1,0,0,0,no_change,,unstated,agrees,2.0,1.0,ad-supported web,anthony,it'll exist and be great if ads die off,human
6669247,uniform,0,,,,,,,,,,,anthony,,human
18484080,uniform,0,,,,,,,,,,,anthony,,human
7487827,uniform,0,,,,,,,,,,,anthony,,human
13333385,uniform,1,1,0,0,no_change,policy_law,unstated,agrees,1.0,1.0,Social Security sustainability,anthony,"requirement, not an outcome forecast | review: hedged claim Social Security could fail",human
19289781,uniform,0,,,,,,,,,,,anthony,,human
8526901,uniform,0,,,,,,,,,,,anthony,,human
9417393,uniform,0,,,,,,,,,,,anthony,"role description, not a future outcome",human
10208482,uniform,1,1,0,0,failure,society_work,unstated,contrarian,1.0,1.0,Open source women initiative,anthony,"plan critique, not an outcome forecast | review: asserts a policy change will happen",human
4819607,uniform,0,,,,,,,,,,,anthony,,human
2949179,uniform,0,,,,,,,,,,,anthony,,human
581488,uniform,0,,,,,,,,,,,anthony,,human
11194931,uniform,0,,,,,,,,,,,anthony,,human
10085757,uniform,0,,,,,,,,,,,anthony,,human
20883609,uniform,0,,,,,,,,,,,anthony,,human
13420909,uniform,0,,,,,,,,,,,anthony,,human
16524293,uniform,0,,,,,,,,,,,anthony,,human
17604944,uniform,0,,,,,,,,,,,anthony,,human
13506491,uniform,0,,,,,,,,,,,anthony,,human
16224198,uniform,0,,,,,,,,,,,anthony,,human
3020407,uniform,1,0,0,0,success,society_work,unstated,contrarian,1.0,0.0,creative workers and unconventional work styles,anthony,a more open-minded company will quickly be there to capitalize on the value they offer,human
9894659,uniform,0,,,,,,,,,,,anthony,,human
10502643,uniform,0,,,,,,,,,,,anthony,"general learning comparison, not a forecast",human
18843548,uniform,0,,,,,,,,,,,anthony,,human
13380344,uniform,0,,,,,,,,,,,anthony,,human
474690,uniform,0,,,,,,,,,,,anthony,will only inside name Williams,human
6986468,uniform,0,,,,,,,,,,,anthony,,human
2903513,uniform,0,,,,,,,,,,,anthony,,human
15130490,uniform,0,,,,,,,,,,,anthony,,human
17859021,uniform,0,,,,,,,,,,,anthony,,human
14864119,uniform,0,,,,,,,,,,,anthony,,human
4469941,uniform,0,,,,,,,,,,,anthony,"personal forgetfulness, not a scoped forecast",human
17830009,uniform,0,,,,,,,,,,,anthony,,human
2453267,uniform,0,,,,,,,,,,,anthony,,human
2915977,uniform,0,,,,,,,,,,,anthony,,human
8599484,uniform,0,,,,,,,,,,,anthony,going to is hypothetical courtroom procedure,human
1110871,uniform,0,,,,,,,,,,,anthony,,human
18456583,uniform,0,,,,,,,,,,,anthony,,human
1985739,uniform,0,,,,,,,,,,,anthony,,human
15265388,uniform,0,,,,,,,,,,,anthony,,human
5003787,uniform,0,,,,,,,,,,,anthony,,human
8947322,uniform,0,,,,,,,,,,,anthony,,human
19239216,uniform,0,,,,,,,,,,,anthony,,human
2849546,uniform,0,,,,,,,,,,,anthony,,human
11124259,uniform,0,,,,,,,,,,,anthony,,human
1610606,uniform,0,,,,,,,,,,,anthony,,human
12176327,uniform,0,,,,,,,,,,,anthony,,human
6459040,uniform,0,,,,,,,,,,,anthony,,human
1383906,uniform,0,,,,,,,,,,,anthony,advice describing an advisor's job,human
16830321,uniform,0,,,,,,,,,,,anthony,,human
9999897,uniform,0,,,,,,,,,,,anthony,,human
8577442,uniform,0,,,,,,,,,,,anthony,,human
18456776,uniform,0,,,,,,,,,,,anthony,,human
9200286,uniform,0,,,,,,,,,,,anthony,,human
6992214,uniform,0,,,,,,,,,,,anthony,,human
17593931,uniform,0,,,,,,,,,,,anthony,,human
1755553,uniform,0,,,,,,,,,,,anthony,,human
4534162,uniform,0,,,,,,,,,,,anthony,,human
12113226,uniform,0,,,,,,,,,,,anthony,"Habit and others' plans, not a forecast",human
15675690,uniform,0,,,,,,,,,,,anthony,,human
20086207,uniform,0,,,,,,,,,,,anthony,,human
6152835,uniform,0,,,,,,,,,,,anthony,,human
20016297,uniform,0,,,,,,,,,,,anthony,personal refusal; habitual present behavior,human
13100916,uniform,0,,,,,,,,,,,anthony,,human
4153546,uniform,0,,,,,,,,,,,anthony,,human
7438163,uniform,0,,,,,,,,,,,anthony,,human
17802787,uniform,0,,,,,,,,,,,anthony,,human
17806301,uniform,0,,,,,,,,,,,anthony,,human
21822166,uniform,0,,,,,,,,,,,anthony,,human
4144417,uniform,0,,,,,,,,,,,anthony,,human
5147479,uniform,0,,,,,,,,,,,anthony,"Describes current bundler behavior, not forecast",human
13033434,uniform,1,1,0,0,no_change,other,unstated,agrees,1.0,2.0,Go on 9x9 or larger boards,anthony,Solving on 9x9 or larger is likely not possible.,human
3349785,uniform,0,,,,,,,,,,,anthony,,human
13503787,uniform,0,,,,,,,,,,,anthony,does not claim whether it will survive,human
8328488,uniform,0,,,,,,,,,,,anthony,,human
14467923,uniform,0,,,,,,,,,,,anthony,,human
6490704,uniform,0,,,,,,,,,,,anthony,,human
4114921,uniform,0,,,,,,,,,,,anthony,"Current AWS behavior, not a later event",human
9003079,uniform,1,1,0,1,change,policy_law,unstated,agrees,2.0,1.0,capital gains tax on real estate,anthony,conservative banking will be back in vogue,human
1894949,uniform,0,,,,,,,,,,,anthony,,human
8292853,uniform,0,,,,,,,,,,,anthony,,human
16057571,uniform,0,,,,,,,,,,,anthony,,human
2146265,uniform,0,,,,,,,,,,,anthony,,human
3400365,uniform,0,,,,,,,,,,,anthony,,human
2367562,uniform,0,,,,,,,,,,,anthony,,human
4161758,uniform,0,,,,,,,,,,,anthony,,human
19891870,uniform,0,,,,,,,,,,,anthony,"grammar example, not a forecast",human
15878481,uniform,0,,,,,,,,,,,anthony,,human
11567113,uniform,0,,,,,,,,,,,anthony,,human
14995509,uniform,0,,,,,,,,,,,anthony,,human
9765918,uniform,0,,,,,,,,,,,anthony,,human
21637904,uniform,0,,,,,,,,,,,anthony,,human
8017480,uniform,0,,,,,,,,,,,anthony,,human
12497053,uniform,0,,,,,,,,,,,anthony,,human
15223101,uniform,0,,,,,,,,,,,anthony,,human
